Company Name,Industry,Symbol,Series,ISIN Code,Index
Escorts Ltd.,AUTOMOBILE,ESCORTS,EQ,INE042A01014,Nifty 200
Exide Industries Ltd.,AUTOMOBILE,EXIDEIND,EQ,INE302A01020,Nifty 200
Federal Bank Ltd.,FINANCIAL SERVICES,FEDERALBNK,EQ,INE171A01029,Nifty 200
Fortis Healthcare Ltd.,HEALTHCARE SERVICES,FORTIS,EQ,INE061F01013,Nifty 200
GAIL (India) Ltd.,OIL & GAS,GAIL,EQ,INE129A01019,Nifty 200
GMR Infrastructure Ltd.,CONSTRUCTION,GMRINFRA,EQ,INE776C01039,Nifty 200
Glenmark Pharmaceuticals Ltd.,PHARMA,GLENMARK,EQ,INE935A01035,Nifty 200
Godrej Agrovet Ltd.,CONSUMER GOODS,GODREJAGRO,EQ,INE850D01014,Nifty 200
Godrej Consumer Products Ltd.,CONSUMER GOODS,GODREJCP,EQ,INE102D01028,Nifty 200
Godrej Industries Ltd.,CONSUMER GOODS,GODREJIND,EQ,INE233A01035,Nifty 200
Godrej Properties Ltd.,CONSTRUCTION,GODREJPROP,EQ,INE484J01027,Nifty 200
Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,GRASIM,EQ,INE047A01021,Nifty 200
Gujarat Gas Ltd.,OIL & GAS,GUJGASLTD,EQ,INE844O01030,Nifty 200
